,videoId,playlistId,channelId
15,x0Uguu7gqgk,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
16,XDv6T4a0RNc,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
17,zZZ_RCwp49g,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
18,_LWjaAiKaf8,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
19,Ercd-Ip5PfQ,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
20,XFZRVnP-MTU,PL-osiE80TeTvipOqomVEeZ1HRrcEvtZB_,UCCezIgC97PvUuR4_gbFUs5g
21,UmljXZIypDc,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
22,a48xeeo5Vnk,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
23,qDwdMDQ8oX4,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
24,1PkNiYlkkjo,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
25,aHC3uTkT9r8,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
26,q4jPR-M0TAQ,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
27,3aVqWaLjqS4,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
28,FdVuKt_iuSI,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
29,CQ90L5jfldw,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
30,-s7e_Fy6NRU,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
31,acOktTcTVEQ,PL-osiE80TeTtoQCKZ03TU5fNfx2UY6U4p,UCCezIgC97PvUuR4_gbFUs5g
